age_months,powertrain,vehicle_type,miles25,miles50,miles75,vehicle,age_years,category
42,hybrid,car,24476,33511,45000,conventional_car,3.5,conventional
43,hybrid,car,24875,34000,45867,conventional_car,3.5833333333333335,conventional
44,hybrid,car,25340,34620,47157,conventional_car,3.6666666666666665,conventional
45,hybrid,car,25866,35206,48627,conventional_car,3.75,conventional
46,hybrid,car,26392,35926.5,50280,conventional_car,3.8333333333333335,conventional
47,hybrid,car,27217,37000,52433,conventional_car,3.9166666666666665,conventional
48,hybrid,car,28125,38760,55000,conventional_car,4,conventional
49,hybrid,car,29748,41441,58687,conventional_car,4.083333333333333,conventional
50,hybrid,car,30976,43684,61737,conventional_car,4.166666666666667,conventional
51,hybrid,car,32002,45363,63444,conventional_car,4.25,conventional
52,hybrid,car,33517.5,47602,65802,conventional_car,4.333333333333333,conventional
53,hybrid,car,35189.25,49848.5,68075,conventional_car,4.416666666666667,conventional
54,hybrid,car,36541,51582,70031.5,conventional_car,4.5,conventional
55,hybrid,car,37974,53343,71686.5,conventional_car,4.583333333333333,conventional
56,hybrid,car,39000,54755.5,73499.75,conventional_car,4.666666666666667,conventional
57,hybrid,car,40111.25,56000,74692,conventional_car,4.75,conventional
58,hybrid,car,40923.75,57020,75608,conventional_car,4.833333333333333,conventional
59,hybrid,car,42119.5,58072,76995.5,conventional_car,4.916666666666667,conventional
60,hybrid,car,42806.25,59140,78000,conventional_car,5,conventional
61,hybrid,car,44550,60885,79612,conventional_car,5.083333333333333,conventional
62,hybrid,car,45900,62734,81707.5,conventional_car,5.166666666666667,conventional
63,hybrid,car,46050,62902.5,82042.25,conventional_car,5.25,conventional
64,hybrid,car,47443,64228,83301.5,conventional_car,5.333333333333333,conventional
65,hybrid,car,48500.25,65522,84553.5,conventional_car,5.416666666666667,conventional
66,hybrid,car,49070,66384,85419,conventional_car,5.5,conventional
67,hybrid,car,49621.5,67158,86307.5,conventional_car,5.583333333333333,conventional
68,hybrid,car,49993.5,67819,87405.5,conventional_car,5.666666666666667,conventional
69,hybrid,car,51014,68990,88363.5,conventional_car,5.75,conventional
70,hybrid,car,51531,69584.5,89288,conventional_car,5.833333333333333,conventional
71,hybrid,car,52120,70278,90164,conventional_car,5.916666666666667,conventional
72,hybrid,car,52999,71122,90915,conventional_car,6,conventional
73,hybrid,car,54004.5,72277,92081.5,conventional_car,6.083333333333333,conventional
74,hybrid,car,55559,74072.5,93974,conventional_car,6.166666666666667,conventional
75,hybrid,car,55751.25,74303.5,94386,conventional_car,6.25,conventional
76,hybrid,car,57033.5,75422,95526,conventional_car,6.333333333333333,conventional
77,hybrid,car,57554.25,76100,96280.5,conventional_car,6.416666666666667,conventional
78,hybrid,car,57911.75,76820,96714.5,conventional_car,6.5,conventional
79,hybrid,car,58235,77444,97211.75,conventional_car,6.583333333333333,conventional
80,hybrid,car,58853.5,78075,98721.75,conventional_car,6.666666666666667,conventional
81,hybrid,car,59759.5,79138,99357,conventional_car,6.75,conventional
82,hybrid,car,60000,79753,100061.75,conventional_car,6.833333333333333,conventional
83,hybrid,car,60496.75,80200.5,100781.25,conventional_car,6.916666666666667,conventional
84,hybrid,car,61476,81067,101847,conventional_car,7,conventional
85,hybrid,car,62670.5,82146,102601.5,conventional_car,7.083333333333333,conventional
86,hybrid,car,63960,84000,104698.5,conventional_car,7.166666666666667,conventional
